address,ticketNumber,longitude,latitude
"2500 24th Ave E., Vancouver, BC, Canada",30,-123.0581032,49.2486409
"1500 Thornton St., Vancouver, BC, Canada",2,-123.0930285,49.2725013
"900 Odlum Dr., Vancouver, BC, Canada",11,-123.0756532,49.2765299
"3600 27th Ave W., Vancouver, BC, Canada",20,-123.185224,49.248084
"2100 Cypress St, Vancouver, BC, Canada",23,-123.1479939,49.2672535
"200 7th Ave W., Vancouver, BC, Canada",76,-123.1095115,49.2646435
"1500 58th Ave W., Vancouver, BC, Canada",15,-123.1406071,49.218311
"1500 Franklin St., Vancouver, BC, Canada",22,-123.0742249,49.2822462
"1700 Grant St., Vancouver, BC, Canada",148,-123.0691318,49.2710412
"3200 17th Ave E., Vancouver, BC, Canada",2,-123.0365179,49.2547473
"1000 18th Ave E., Vancouver, BC, Canada",5,-123.0832627,49.2543105
"1800 Columbia St., Vancouver, BC, Canada",64,-123.109468,49.2692758
"2900 Prince Edward St., Vancouver, BC, Canada",14,-123.0961502,49.25893019999999
"0 3rd Ave E., Vancouver, BC, Canada",126,-123.102749,49.2682659
"200 Alexander St., Vancouver, BC, Canada",313,-123.0995227,49.2840887
"1200 Bidwell St., Vancouver, BC, Canada",249,-123.1404907,49.2859259
"3100 Prince Albert St., Vancouver, BC, Canada",8,-123.0872548,49.25674739999999
"2400 6th Ave W., Vancouver, BC, Canada",23,-123.1599628,49.2665489
"4300 Cartier St., Vancouver, BC, Canada",3,-123.1367574,49.247388
"600 Beatty St., Vancouver, BC, Canada",93,-123.1105849,49.2798502
"4400 Atlin St., Vancouver, BC, Canada",105,-123.0455512,49.2452407
"1600 Cypress St, Vancouver, BC, Canada",120,-123.1478339,49.2715878
"1800 Island Ave., Vancouver, BC, Canada",3,-123.0692384,49.2092287
"7000 Quebec St., Vancouver, BC, Canada",2,-123.103962,49.2211092
"3000 Prince Albert St., Vancouver, BC, Canada",3,-123.0872548,49.25674739999999
"4500 Angus Dr., Vancouver, BC, Canada",1,-123.1454234,49.2455387
"1800 7th Ave W., Vancouver, BC, Canada",109,-123.1459508,49.2654219
"1800 Venables St., Vancouver, BC, Canada",65,-123.067716,49.2764382
"1600 28th Ave W., Vancouver, BC, Canada",4,-123.1270401,49.2459668
"2500 28th Ave E., Vancouver, BC, Canada",6,-123.0542516,49.2454501
"2400 Trafalgar St., Vancouver, BC, Canada",108,-123.1644554,49.2647973
"1100 Balfour Ave., Vancouver, BC, Canada",2,-123.1298566,49.2520131
"1500 Nanton Ave., Vancouver, BC, Canada",3,-123.1393881,49.2473981
"2400 Blenheim St., Vancouver, BC, Canada",108,-123.1776118,49.26501649999999
"4600 Cambie St., Vancouver, BC, Canada",13,-123.1115408,49.2387745
"1500 29th Ave W., Vancouver, BC, Canada",2,-123.1392213,49.24545699999999
"2300 Spruce St., Vancouver, BC, Canada",50,-123.1287342,49.26507609999999
"1200 15th Ave W., Vancouver, BC, Canada",33,-123.1316665,49.25763449999999
"2600 Columbia St., Vancouver, BC, Canada",37,-123.1091984,49.2619571
"8100 Granville St., Vancouver, BC, Canada",5,-123.1401456,49.2120145
"4700 Earles St., Vancouver, BC, Canada",2,-123.0441378,49.24211529999999
"4200 Sophia St., Vancouver, BC, Canada",43,-123.0988049,49.24701
"1600 Beach Ave., Vancouver, BC, Canada",151,-123.1413239,49.2840517
"1300 Balfour Ave., Vancouver, BC, Canada",8,-123.1344428,49.2518939
"1300 Lamey's Mill Rd., Vancouver, BC, Canada",13,-123.1330271,49.2669149
"3700 Dunbar St., Vancouver, BC, Canada",1,-123.185162,49.25376199999999
"1400 Balfour Ave., Vancouver, BC, Canada",2,-123.1366952,49.2519862
"3600 Glen Dr., Vancouver, BC, Canada",96,-123.0818194,49.252239
"4400 Ash St., Vancouver, BC, Canada",30,-123.118468,49.2479947
"1400 Crescent, The, Vancouver, BC, Canada",1,-123.136497,49.25489169999999
"5500 Gladstone St., Vancouver, BC, Canada",19,-123.0621045,49.2349043
"3500 45th Ave E., Vancouver, BC, Canada",10,-123.0289162,49.2292487
"1800 15th Ave E., Vancouver, BC, Canada",24,-123.0678368,49.2568195
"1500 26th Ave W., Vancouver, BC, Canada",2,-123.0856723,49.3137325
"700 Pender St. E., Vancouver, BC, Canada",90,-123.0893623,49.27992889999999
"1800 Kitchener St., Vancouver, BC, Canada",52,-123.06721,49.2721251
"1400 57th Ave W., Vancouver, BC, Canada",16,-123.1377546,49.2193221
"4800 Victoria Dr., Vancouver, BC, Canada",35,-123.0649709,49.2414844
"5000 St. Catherines St., Vancouver, BC, Canada",1,-123.0865894,49.2393187
"1500 61st Ave W., Vancouver, BC, Canada",13,-123.1436426,49.2157265
"4700 Arbutus St., Vancouver, BC, Canada",9,-123.1529943,49.24368990000001
"3400 Welwyn St., Vancouver, BC, Canada",9,-123.0690161,49.2540224
"5600 Gladstone St., Vancouver, BC, Canada",8,-123.0621175,49.23389710000001
"2400 Brunswick St., Vancouver, BC, Canada",47,-123.0969848,49.2640983
"2300 Boundary Rd., Vancouver, BC, Canada",3,-123.0228957,49.2640813
"2800 Cambie St., Vancouver, BC, Canada",30,-123.1149311,49.2603662
"1400 13th Ave E., Vancouver, BC, Canada",19,-123.1362388,49.25979299999999
"3200 Victoria Dr., Vancouver, BC, Canada",22,-123.0660286,49.2565779
"3300 38th Ave W., Vancouver, BC, Canada",8,-123.1786922,49.2375831
"1800 Trimble St., Vancouver, BC, Canada",1,-123.2057827,49.2713056
"2700 Watson St., Vancouver, BC, Canada",42,-123.100376,49.2611158
"1400 59th Ave W., Vancouver, BC, Canada",3,-123.1376686,49.21709569999999
"1400 Granville St., Vancouver, BC, Canada",9,-123.1293623,49.2741625
"400 49th Ave W., Vancouver, BC, Canada",38,-123.1143794,49.2260591
"8400 Heather St., Vancouver, BC, Canada",13,-123.1239374,49.2099157
"1200 12th Ave W., Vancouver, BC, Canada",76,-123.1315789,49.260441
"3600 26th Ave E., Vancouver, BC, Canada",5,-123.0543009,49.24708880000001
"3300 Dunbar St., Vancouver, BC, Canada",40,-123.1848539,49.2572339
"3000 Oak St., Vancouver, BC, Canada",13,-123.1263982,49.2587173
"2300 Ontario St., Vancouver, BC, Canada",27,-123.1045993,49.2643599
"5600 Ontario St., Vancouver, BC, Canada",3,-123.1053974,49.2343527
"5300 Taunton St., Vancouver, BC, Canada",17,-123.038322,49.2364301
"7300 Knight St., Vancouver, BC, Canada",2,-123.0769725,49.2180563
"2900 Victoria Dr., Vancouver, BC, Canada",21,-123.0659644,49.2586267
"5000 Payne St., Vancouver, BC, Canada",23,-123.0291146,49.2396633
"1900 Dunbar St., Vancouver, BC, Canada",19,-123.183636,49.2694927
"100 Walter Hardwick Ave., Vancouver, BC, Canada",45,-123.1066674,49.2709381
"1600 Frances St., Vancouver, BC, Canada",158,-123.0727572,49.2794191
"400 Nelson St., Vancouver, BC, Canada",106,-123.1203563,49.27720189999999
"600 Cambie St., Vancouver, BC, Canada",13,-123.1116124,49.2803968
"400 55th Ave E., Vancouver, BC, Canada",16,-123.0976972,49.220077
"6300 Cambie St., Vancouver, BC, Canada",85,-123.1159413,49.2278197
"400 60th Ave E., Vancouver, BC, Canada",11,-123.0978447,49.2157683
"4000 35th Ave W., Vancouver, BC, Canada",2,-123.1936958,49.2405165
"2400 Pender St. E., Vancouver, BC, Canada",47,-123.128813,49.2898219
"1000 42nd Ave W., Vancouver, BC, Canada",4,-123.1285809,49.2328446
"3500 Copley St., Vancouver, BC, Canada",4,-123.0572828,49.25170490000001
"300 Pender St. W., Vancouver, BC, Canada",24,-123.1112717,49.2821722
"3300 Penticton St., Vancouver, BC, Canada",1,-123.0521834,49.25654609999999
"200 32nd Ave E., Vancouver, BC, Canada",17,-123.1000522,49.2420896
"7500 St. George St., Vancouver, BC, Canada",2,-123.0941531,49.2161357
"1600 Marine Dr. S.W., Vancouver, BC, Canada",1,-123.1447272,49.2084662
"4700 Joyce St., Vancouver, BC, Canada",4,-123.0276778,49.2425898
"1400 Howe St., Vancouver, BC, Canada",58,-123.1304439,49.2756395
"3300 Wellington Ave., Vancouver, BC, Canada",17,-123.0361872,49.2424111
"0 6th Ave W., Vancouver, BC, Canada",100,-123.1143376,49.26587689999999
"5700 Boulevard W., Vancouver, BC, Canada",112,-123.1966917,49.23493670000001
"4400 13th Ave W., Vancouver, BC, Canada",5,-123.2062015,49.261038
"400 38th Ave E., Vancouver, BC, Canada",5,-123.09708,49.2362481
"2400 Yukon St., Vancouver, BC, Canada",102,-123.1129063,49.26393789999999
"2700 51st Ave E., Vancouver, BC, Canada",5,-123.0524394,49.2227401
"400 Hornby St., Vancouver, BC, Canada",57,-123.1163437,49.2862466
"300 36th Ave E., Vancouver, BC, Canada",3,-123.1002169,49.238112
"4100 Miller St., Vancouver, BC, Canada",3,-123.0683014,49.248382
"3800 11th Ave W., Vancouver, BC, Canada",2,-123.1878325,49.2625946
"2300 Granville St., Vancouver, BC, Canada",122,-123.1380919,49.265195
"300 Terminal Ave., Vancouver, BC, Canada",81,-123.0981945,49.2721952
"4200 8th Ave W., Vancouver, BC, Canada",4,-123.2000143,49.2651724
"1500 16th Ave W., Vancouver, BC, Canada",47,-123.1393053,49.25684769999999
"5700 Willow St., Vancouver, BC, Canada",167,-123.1238635,49.2338615
"500 Abbott St., Vancouver, BC, Canada",1551,-123.1075616,49.2810977
"1400 15th Ave W., Vancouver, BC, Canada",120,-123.1365443,49.2579546
"1500 13th Ave E., Vancouver, BC, Canada",63,-123.0730943,49.2584961
"4700 Fairmont St., Vancouver, BC, Canada",1,-123.04147,49.242058
"300 33rd Ave E., Vancouver, BC, Canada",3,-123.0990824,49.2402952
"4100 Prince Edward St., Vancouver, BC, Canada",8,-123.0967623,49.2487642
"4300 Hudson St., Vancouver, BC, Canada",111,-123.1344356,49.2473314
"3700 10th Ave W., Vancouver, BC, Canada",220,-123.1858885,49.2634805
"500 Victoria Dr., Vancouver, BC, Canada",11,-123.0653629,49.28010459999999
"4200 Dunbar St., Vancouver, BC, Canada",48,-123.1849385,49.2488726
"1500 Frances St., Vancouver, BC, Canada",47,-123.0740437,49.2794434
"900 Main St., Vancouver, BC, Canada",80,-123.0998144,49.275061
"300 National Ave., Vancouver, BC, Canada",1,-123.0985346,49.2748946
"1500 5th Ave W., Vancouver, BC, Canada",57,-123.1381402,49.2666021
"2700 5th Ave W., Vancouver, BC, Canada",9,-123.1665926,49.267227
"2000 Barclay St., Vancouver, BC, Canada",101,-123.1417745,49.2928366
"5100 Sophia St., Vancouver, BC, Canada",3,-123.0990718,49.2386949
"400 34th Ave E., Vancouver, BC, Canada",6,-123.0968126,49.2394973
"4300 Quebec St., Vancouver, BC, Canada",53,-123.1030871,49.2472387
"4500 Walden St., Vancouver, BC, Canada",33,-123.0999211,49.2444433
"2900 Watson St., Vancouver, BC, Canada",307,-123.1002918,49.25926459999999
"4600 Oak St., Vancouver, BC, Canada",95,-123.1280936,49.2445175
"6400 Main St., Vancouver, BC, Canada",49,-123.1015766,49.2266523
"1700 Cypress St, Vancouver, BC, Canada",12,-123.1478675,49.2706989
"600 Hastings St. W., Vancouver, BC, Canada",217,-123.1128815,49.2846693
"1500 7th Ave W., Vancouver, BC, Canada",573,-123.1385412,49.2653553
"600 Jervis St., Vancouver, BC, Canada",122,-123.1251088,49.2888366
"0 32nd Ave E., Vancouver, BC, Canada",41,-123.0879389,49.2416856
"8500 Oak St., Vancouver, BC, Canada",2,-123.1299807,49.2092531
"1900 Turner St., Vancouver, BC, Canada",19,-123.0647152,49.278936
"1800 York Ave., Vancouver, BC, Canada",209,-123.1464166,49.2715615
"5000 Prince Albert St., Vancouver, BC, Canada",7,-123.0877176,49.2393554
"2000 12th Ave W., Vancouver, BC, Canada",33,-123.1510338,49.2608105
"3200 14th Ave E., Vancouver, BC, Canada",9,-123.0366184,49.2572049
"1900 Columbia St., Vancouver, BC, Canada",61,-123.1093065,49.2682911
"1100 Hastings St. W., Vancouver, BC, Canada",629,-123.119771,49.287947
"200 28th Ave E., Vancouver, BC, Canada",168,-123.0971917,49.2454425
"400 10th Ave E., Vancouver, BC, Canada",128,-123.1127602,49.2622223
"2200 48th Ave E., Vancouver, BC, Canada",7,-123.0621246,49.226041
"1500 14th Ave E., Vancouver, BC, Canada",24,-123.073695,49.2577771
"900 15th Ave W., Vancouver, BC, Canada",102,-123.1246452,49.2575861
"700 23rd Ave E., Vancouver, BC, Canada",13,-123.0900924,49.2501039
"300 Burrard St., Vancouver, BC, Canada",6,-123.1167693,49.2872935
"1200 Georgia St. W., Vancouver, BC, Canada",140,-123.1259289,49.2872225
"700 Bute St., Vancouver, BC, Canada",708,-123.1257232,49.2868388
"600 45th Ave E., Vancouver, BC, Canada",9,-123.0924431,49.2290097
"1000 Georgia St. W., Vancouver, BC, Canada",220,-123.1214784,49.2843458
"6600 Inverness St., Vancouver, BC, Canada",4,-123.0797911,49.2243563
"3700 Puget Dr., Vancouver, BC, Canada",6,-123.1751654,49.2542549
"2000 Burrard St., Vancouver, BC, Canada",3,-123.145335,49.2681559
"2900 Pine St., Vancouver, BC, Canada",23,-123.1435228,49.26005
"200 46th Ave E., Vancouver, BC, Canada",11,-123.1017883,49.2284765
"1400 Old Bridge Ct., Vancouver, BC, Canada",8,-123.1345622,49.270564
"1900 Trutch St., Vancouver, BC, Canada",8,-123.175724,49.269369
"1500 64th Ave W., Vancouver, BC, Canada",8,-123.1401452,49.2131354
"400 35th Ave E., Vancouver, BC, Canada",6,-123.0969948,49.23886719999999
"800 37th Ave E., Vancouver, BC, Canada",2,-123.088071,49.2365114
"300 Howe St., Vancouver, BC, Canada",416,-123.1142107,49.2861214
"1000 George St., Vancouver, BC, Canada",3,-123.0793127,49.2757307
"1000 Pender St. W., Vancouver, BC, Canada",408,-123.117793,49.2865925
"6400 Collingwood St., Vancouver, BC, Canada",3,-123.1816406,49.2287332
"500 Woodland Dr., Vancouver, BC, Canada",34,-123.0726473,49.2804026
"2300 Birch St., Vancouver, BC, Canada",60,-123.1334008,49.2649727
"3100 16th Ave E., Vancouver, BC, Canada",7,-123.0390326,49.2555872
"200 36th Ave E., Vancouver, BC, Canada",8,-123.1009138,49.2381264
"3800 29th Ave W., Vancouver, BC, Canada",12,-123.1883193,49.2459971
"2400 Stephens St., Vancouver, BC, Canada",65,-123.166244,49.26503899999999
"1200 10th Ave W., Vancouver, BC, Canada",71,-123.1316643,49.2622903
"400 21st Ave W., Vancouver, BC, Canada",28,-123.11248,49.2517974
"2800 Granville St., Vancouver, BC, Canada",313,-123.1384068,49.2608758
"4500 Carnarvon St., Vancouver, BC, Canada",2,-123.172943,49.2463814
"1800 13th Ave W., Vancouver, BC, Canada",40,-123.1459118,49.2599433
"600 Helmcken St., Vancouver, BC, Canada",210,-123.1240727,49.2778627
"2900 7th Ave E., Vancouver, BC, Canada",27,-123.0434185,49.2636257
"3400 Heather St., Vancouver, BC, Canada",1,-123.1198545,49.2550628
"0 28th Ave E., Vancouver, BC, Canada",31,-123.0504968,49.2453057
"3300 Rupert St., Vancouver, BC, Canada",1,-123.0334451,49.25469409999999
"2100 Oxford St., Vancouver, BC, Canada",20,-123.0615776,49.28570269999999
"200 65th Ave E., Vancouver, BC, Canada",12,-123.1013878,49.2115436
"2000 16th Ave W., Vancouver, BC, Canada",13,-123.1507708,49.2572467
"3000 Granville St., Vancouver, BC, Canada",299,-123.138512,49.2588667
"2800 Oxford St., Vancouver, BC, Canada",20,-123.0469849,49.2854689
"1500 6th Ave W., Vancouver, BC, Canada",1080,-123.138644,49.266008
"2200 Cornwall Ave., Vancouver, BC, Canada",336,-123.1549761,49.2725806
"1500 Kaslo St., Vancouver, BC, Canada",3,-123.0467192,49.2716217
"100 37th Ave E., Vancouver, BC, Canada",8,-123.1034316,49.237068
"3100 Ash St., Vancouver, BC, Canada",22,-123.1181276,49.2574247
"2500 Ward St., Vancouver, BC, Canada",5,-123.0525304,49.2415189
"100 Pender St. W., Vancouver, BC, Canada",48,-123.1083648,49.2809257
"7800 Oak St., Vancouver, BC, Canada",2,-123.1297522,49.21414129999999
"2400 Alberta St., Vancouver, BC, Canada",53,-123.1109114,49.263882
"1200 11th Ave W., Vancouver, BC, Canada",92,-123.1315457,49.26137869999999
"900 8th Ave W., Vancouver, BC, Canada",325,-123.1244996,49.2641982
"1400 13th Ave W., Vancouver, BC, Canada",128,-123.1362388,49.25979299999999
"700 Jervis St., Vancouver, BC, Canada",170,-123.1267158,49.2882409
"700 Broughton St., Vancouver, BC, Canada",95,-123.1282417,49.2890422
"1000 14th Ave W., Vancouver, BC, Canada",54,-123.1276656,49.2585793
"400 Keefer St., Vancouver, BC, Canada",158,-123.0954825,49.279419
"2400 Quebec St., Vancouver, BC, Canada",414,-123.1029227,49.2637375
"500 Alexander St., Vancouver, BC, Canada",269,-123.0930833,49.2837082
"400 8th Ave W., Vancouver, BC, Canada",1250,-123.1130011,49.2637892
"2500 Balaclava St., Vancouver, BC, Canada",123,-123.1738497,49.26400750000001
"1600 Pender St. E., Vancouver, BC, Canada",148,-123.0726482,49.2803237
"1700 4th Ave E., Vancouver, BC, Canada",54,-123.1432774,49.2679897
"2400 Scotia St., Vancouver, BC, Canada",74,-123.0989195,49.2639449
"2900 Granville St., Vancouver, BC, Canada",244,-123.1387008,49.2598534
"1500 Beach Ave., Vancouver, BC, Canada",49,-123.1413037,49.2827718
"3300 Willow St., Vancouver, BC, Canada",7,-123.1220635,49.25613629999999
"500 23rd Ave W., Vancouver, BC, Canada",112,-123.1145327,49.2498786
"400 Carrall St., Vancouver, BC, Canada",102,-123.1043349,49.281494
"700 Graveley St., Vancouver, BC, Canada",1,-123.0770647,49.270405
"3600 5th Ave W., Vancouver, BC, Canada",12,-123.183649,49.267748
"2000 15th Ave W., Vancouver, BC, Canada",9,-123.1507389,49.258192
"1900 3rd Ave W., Vancouver, BC, Canada",115,-123.1479354,49.2689318
"0 Powell St., Vancouver, BC, Canada",389,-123.0843227,49.2827482
"300 34th Ave E., Vancouver, BC, Canada",10,-123.0993396,49.2396538
"3300 11th Ave W., Vancouver, BC, Canada",15,-123.1778933,49.2624427
"100 2nd Ave W., Vancouver, BC, Canada",195,-123.1065781,49.26926599999999
"1100 Cordova St. W., Vancouver, BC, Canada",1215,-123.1205233,49.288456
"0 29th Ave E., Vancouver, BC, Canada",103,-123.0405753,49.2445379
"100 26th Ave W., Vancouver, BC, Canada",49,-123.1028808,49.24784690000001
"3300 Church St., Vancouver, BC, Canada",22,-123.0352014,49.2345353
"1400 Pender St. W., Vancouver, BC, Canada",76,-123.1274289,49.2895703
"200 17th Ave W., Vancouver, BC, Canada",37,-123.1011881,49.255526
"100 Keefer Pl., Vancouver, BC, Canada",124,-123.1083712,49.2795672
"6500 Frederick St., Vancouver, BC, Canada",18,-123.0916997,49.22514450000001
"700 12th Ave W., Vancouver, BC, Canada",9,-123.1199791,49.2604256
"3500 20th Ave W., Vancouver, BC, Canada",12,-123.1817806,49.25467080000001
"100 6th Ave E., Vancouver, BC, Canada",80,-123.102983,49.2653887
"1100 Bidwell St., Vancouver, BC, Canada",126,-123.1382331,49.2870485
"400 45th Ave E., Vancouver, BC, Canada",13,-123.0973921,49.2292869
"2700 Skeena St., Vancouver, BC, Canada",118,-123.0280208,49.2607955
"3200 48th Ave E., Vancouver, BC, Canada",16,-123.038819,49.2254874
"1500 20th Ave E., Vancouver, BC, Canada",4,-123.0819046,49.25250560000001
"300 5th Ave E., Vancouver, BC, Canada",163,-123.098814,49.266378
"2000 39th Ave E., Vancouver, BC, Canada",17,-123.0659781,49.2343792
"200 Cordova St. E., Vancouver, BC, Canada",43,-123.0991899,49.2820574
"1700 2nd Ave E., Vancouver, BC, Canada",24,-123.1431599,49.26974800000001
"200 5th Ave E., Vancouver, BC, Canada",51,-123.1005357,49.2662752
"1200 16th Ave E., Vancouver, BC, Canada",3,-123.0796518,49.2560611
"1000 Harwood St., Vancouver, BC, Canada",228,-123.1318591,49.2779102
"400 13th Ave W., Vancouver, BC, Canada",70,-123.1131183,49.2592192
"3300 Commercial Dr., Vancouver, BC, Canada",10,-123.0684681,49.2551519
"200 Woodstock Ave. E, Vancouver, BC, Canada",9,-123.101712,49.2336028
"5400 Boulevard W., Vancouver, BC, Canada",252,-123.1207375,49.2827291
"0 53rd Ave E., Vancouver, BC, Canada",9,-123.0683896,49.2218343
"1000 Salsbury Dr., Vancouver, BC, Canada",15,-123.0672874,49.2755464
"3500 30th Ave W., Vancouver, BC, Canada",14,-123.181911,49.245196
"4900 Carnarvon St., Vancouver, BC, Canada",1,-123.1727732,49.2437718
"5300 McKinnon St., Vancouver, BC, Canada",82,-123.0366533,49.2362338
"200 38th Ave E., Vancouver, BC, Canada",1,-123.1016477,49.2363296
"3100 8th Ave W., Vancouver, BC, Canada",30,-123.173962,49.2650544
"2200 36th Ave W., Vancouver, BC, Canada",5,-123.1581737,49.2393218
"2400 Trimble St., Vancouver, BC, Canada",16,-123.2056254,49.2660773
"500 Bute St., Vancouver, BC, Canada",415,-123.1226082,49.2886683
"400 57th Ave E., Vancouver, BC, Canada",1,-123.097747,49.218373
"4600 Earles St., Vancouver, BC, Canada",3,-123.0434319,49.2428626
"1100 Melville St., Vancouver, BC, Canada",1255,-123.1230105,49.28668820000001
"3600 Tupper St., Vancouver, BC, Canada",11,-123.1161408,49.2547006
"500 17th Ave W., Vancouver, BC, Canada",145,-123.115097,49.2558829
"2400 23rd Ave E., Vancouver, BC, Canada",25,-123.1600318,49.2516115
"6200 St. George St., Vancouver, BC, Canada",7,-123.0938087,49.22744170000001
"1200 26th Ave W., Vancouver, BC, Canada",4,-123.181825,49.249004
"3600 Kingsway, Vancouver, BC, Canada",111,-123.0264686,49.2321768
"2000 2nd Ave W., Vancouver, BC, Canada",26,-123.1501711,49.2696355
"1300 14th Ave W., Vancouver, BC, Canada",50,-123.1340591,49.2586174
"900 18th Ave W., Vancouver, BC, Canada",9,-123.1244485,49.2552871
"200 4th Ave W., Vancouver, BC, Canada",29,-123.0563139,49.2665145
"100 Central St., Vancouver, BC, Canada",24,-123.0996322,49.27140439999999
"900 Dunsmuir St., Vancouver, BC, Canada",30,-123.118376,49.2848932
"2600 Watson St., Vancouver, BC, Canada",5,-123.1001527,49.2619503
"6100 Prince Edward St., Vancouver, BC, Canada",1,-123.0973921,49.2292869
"700 Hornby St., Vancouver, BC, Canada",273,-123.1201857,49.2837172
"5400 Main St., Vancouver, BC, Canada",4,-123.1013404,49.23628979999999
"1700 Pine St., Vancouver, BC, Canada",298,-123.1430212,49.26957669999999
"3800 21st Ave W., Vancouver, BC, Canada",3,-123.1880736,49.2537921
"100 Broadway St. E., Vancouver, BC, Canada",217,-123.1450448,49.2635592
"300 Abbott St., Vancouver, BC, Canada",585,-123.106734,49.2829485
"100 Main St., Vancouver, BC, Canada",110,-123.0995227,49.2840887
"1300 Homer St., Vancouver, BC, Canada",481,-123.1248804,49.2742148
"500 Gore Ave., Vancouver, BC, Canada",138,-123.0969999,49.2805976
"3100 Arbutus St., Vancouver, BC, Canada",6,-123.1531169,49.2582225
"8400 Cambie St., Vancouver, BC, Canada",27,-123.1172162,49.2098644
"1000 Canada Pl., Vancouver, BC, Canada",1081,-123.113742,49.2876595
"1100 16th Ave E., Vancouver, BC, Canada",1,-123.0814802,49.2561028
"1000 26th Ave W., Vancouver, BC, Canada",2,-123.0511334,49.3333787
"800 Broadway St. E., Vancouver, BC, Canada",25,-123.0869757,49.2623148
"800 Commercial Dr., Vancouver, BC, Canada",22,-123.0704878,49.2775725
"100 4th Ave W., Vancouver, BC, Canada",168,-123.1496634,49.2683428
"1400 Burrard St., Vancouver, BC, Canada",39,-123.1331004,49.2761807
"3500 Glen Dr., Vancouver, BC, Canada",1,-123.0817816,49.2532556
"2800 Broadway St. W., Vancouver, BC, Canada",357,-123.1685307,49.2641954
"1000 Howe St., Vancouver, BC, Canada",749,-123.1239257,49.2797428
"2600 Broadway St. W., Vancouver, BC, Canada",382,-123.1647469,49.26400839999999
"1000 Alberni St., Vancouver, BC, Canada",1433,-123.1217498,49.2840684
"2100 Napier St., Vancouver, BC, Canada",5,-123.0618833,49.2747995
"600 13th Ave W., Vancouver, BC, Canada",102,-123.1177684,49.2593346
"200 15th Ave E., Vancouver, BC, Canada",76,-123.1011553,49.2575137
"1900 51st Ave E., Vancouver, BC, Canada",17,-123.0674906,49.2232569
"200 47th Ave E., Vancouver, BC, Canada",6,-123.1015293,49.2275514
"2900 2nd Ave E., Vancouver, BC, Canada",8,-123.0991754,49.2682537
"1000 Pacific St., Vancouver, BC, Canada",14,-123.1324422,49.276968
"400 36th Ave E., Vancouver, BC, Canada",1,-123.097508,49.2377538
"7100 Ontario St., Vancouver, BC, Canada",6,-123.1061377,49.2202576
"2000 Highbury St., Vancouver, BC, Canada",7,-123.1876412,49.2688889
"100 52nd Ave E., Vancouver, BC, Canada",10,-123.103894,49.22290599999999
"500 11th Ave E., Vancouver, BC, Canada",16,-123.0927897,49.2605126
"3000 42nd Ave W., Vancouver, BC, Canada",4,-123.1730509,49.2337739
"400 14th Ave W., Vancouver, BC, Canada",43,-123.1131724,49.258518
"3600 Hastings St. E., Vancouver, BC, Canada",62,-123.0254087,49.280876
"500 Vernon Dr., Vancouver, BC, Canada",7,-123.079039,49.280172
"4200 Prince Edward St., Vancouver, BC, Canada",4,-123.0968204,49.2473812
"1400 William St., Vancouver, BC, Canada",19,-123.0758897,49.2740374
"1400 Pendrell St., Vancouver, BC, Canada",55,-123.1361321,49.2846177
"2000 45th Ave E., Vancouver, BC, Canada",6,-123.0652952,49.2294533
"1800 Burrard St., Vancouver, BC, Canada",3,-123.1452033,49.2689187
"1800 Parker St., Vancouver, BC, Canada",34,-123.0672317,49.2755258
"600 14th Ave W., Vancouver, BC, Canada",95,-123.1180208,49.25841339999999
"2800 33rd Ave W., Vancouver, BC, Canada",4,-123.1679307,49.24229829999999
"1100 37th Ave E., Vancouver, BC, Canada",2,-123.0827226,49.2362996
"500 Powell St., Vancouver, BC, Canada",82,-123.0931764,49.282932
"4600 Boundary Rd., Vancouver, BC, Canada",13,-123.0232544,49.243691
"300 Woodstock Ave. E, Vancouver, BC, Canada",8,-123.0995369,49.2335614
"3800 Main St., Vancouver, BC, Canada",7,-123.1006233,49.2508978
"5700 Balsam St., Vancouver, BC, Canada",150,-123.1610853,49.23438489999999
"600 Cordova St. E., Vancouver, BC, Canada",215,-123.091368,49.2819854
"2700 4th Ave W., Vancouver, BC, Canada",40,-123.1663563,49.2683471
"1900 Napier St., Vancouver, BC, Canada",20,-123.0656653,49.274831
"1300 37th Ave W., Vancouver, BC, Canada",10,-123.1349292,49.2377386
"200 Marine Dr. S.W., Vancouver, BC, Canada",35,-123.1108126,49.2115154
"400 30th Ave E., Vancouver, BC, Canada",7,-123.0967291,49.2433365
"1400 Station St., Vancouver, BC, Canada",13,-123.098076,49.2712687
"3300 Glen Dr., Vancouver, BC, Canada",2,-123.0817711,49.253464
"1500 10th Ave W., Vancouver, BC, Canada",268,-123.1385995,49.2626325
"1200 McLean Dr., Vancouver, BC, Canada",37,-123.074478,49.27263139999999
"1300 Rolston St., Vancouver, BC, Canada",20,-123.1277155,49.27545199999999
"5200 Culloden St., Vancouver, BC, Canada",3,-123.0782592,49.2368304
"4300 Alexandra St., Vancouver, BC, Canada",4,-123.1411918,49.2480295
"900 Hamilton St., Vancouver, BC, Canada",359,-123.1186268,49.2775592
"1100 Haro St., Vancouver, BC, Canada",292,-123.1263516,49.2838959
"2100 Garden Dr., Vancouver, BC, Canada",1,-123.0578671,49.2659414
"1600 Pendrell St., Vancouver, BC, Canada",54,-123.139151,49.2868739
"200 16th Ave E., Vancouver, BC, Canada",108,-123.1006513,49.2565941
